ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.67,267.73,399.37,1.64,44.7,322.75,0.14,33.52,11.16,
6.16,327.88,513.95,2.45,36.21,352.21,1.35,38.15,0.26,1.0
8.04,50.14,60.06,2.25,62.17,47.3,1.71,37.4,0.05,1.0
6.08,24.82,10.0,4.22,0.17,5.0,0.67,65.01,2.57,
8.38,296.56,471.6,0.62,46.03,297.52,0.01,13.72,0.09,1.0
6.68,78.02,134.36,2.2,,84.72,0.74,32.82,0.14,1.0
6.52,81.56,10.0,1.58,29.38,12.36,0.17,44.85,0.09,
7.6,131.77,329.01,2.12,46.11,176.25,0.83,37.65,0.21,1.0
6.57,326.25,458.64,1.86,70.3,266.73,1.34,29.94,0.17,1.0
6.83,206.47,275.59,1.65,73.61,166.39,0.76,17.39,0.46,1.0
7.68,159.98,208.43,1.48,80.44,139.62,1.0,18.73,2.82,1.0
5.46,216.73,268.13,2.71,,169.5,0.11,55.82,0.03,1.0
8.71,130.9,225.88,1.63,100.56,176.39,0.1,,0.75,1.0
7.43,10.0,30.39,1.98,24.21,5.0,1.9,30.24,0.07,1.0
6.37,90.62,157.06,2.19,27.13,87.06,0.05,32.54,0.01,1.0
6.59,192.99,404.26,1.28,60.75,293.17,0.33,24.13,0.51,1.0
8.19,182.01,364.34,2.61,36.52,239.44,2.78,41.79,6.85,
7.88,138.05,333.61,1.04,64.47,234.54,0.61,30.78,0.1,1.0
8.51,36.71,100.97,2.49,71.9,106.66,1.12,38.38,0.21,1.0
6.85,128.39,263.7,2.4,19.47,157.53,0.25,35.39,0.09,1.0
7.64,10.0,10.0,1.87,42.65,5.0,0.32,37.52,1.18,1.0
7.74,236.43,335.7,0.91,43.84,212.75,0.71,28.91,0.16,1.0
7.96,462.48,585.77,2.01,88.33,341.66,1.02,36.97,18.27,
8.3,36.31,10.0,0.97,31.39,5.0,3.23,24.63,1.13,1.0
6.83,99.54,182.81,1.89,29.65,136.45,0.85,26.15,0.4,1.0
7.31,216.76,365.82,2.79,9.14,248.6,0.1,43.09,1.35,1.0
6.91,309.29,550.57,1.98,13.62,370.25,0.46,44.63,1.3,1.0
7.36,130.72,210.36,3.25,,129.22,0.28,54.08,0.31,1.0
7.96,95.08,161.55,2.3,21.88,91.89,0.29,32.01,0.44,1.0
6.08,10.0,10.0,2.77,113.74,31.89,0.7,41.93,0.13,1.0
8.29,276.56,320.69,2.72,77.64,198.5,0.38,51.12,2.33,1.0
4.6,350.69,708.42,3.41,101.09,466.35,0.34,62.37,18.98,
3.53,249.2,355.47,0.69,11.99,234.32,3.44,2.0,0.76,
8.4,172.27,295.54,1.48,,221.34,0.88,25.78,0.19,1.0
7.66,313.69,364.42,2.03,62.66,256.3,0.3,30.34,12.57,
7.67,195.71,297.78,2.8,124.14,167.65,0.32,41.35,0.05,1.0
6.46,64.44,137.4,2.17,30.59,65.56,1.67,45.83,0.41,
6.56,266.41,464.66,1.99,54.07,313.6,2.18,27.53,0.14,1.0
8.15,209.09,345.15,3.03,,223.06,1.14,39.7,5.27,
6.93,124.97,303.52,1.66,51.13,188.19,0.56,16.78,0.13,1.0
7.0,24.61,104.93,1.62,45.0,88.51,1.45,22.49,17.24,
8.17,247.17,560.7,2.52,,368.21,2.77,30.46,0.35,1.0
6.56,213.62,432.94,4.39,8.51,282.46,0.18,57.26,0.24,
7.62,118.34,189.42,1.98,5.33,138.72,1.98,20.8,0.04,1.0
7.43,315.23,500.36,1.35,,317.74,1.89,12.0,12.15,
5.33,21.33,200.49,1.43,21.01,161.69,0.46,13.89,0.77,
6.99,79.3,143.6,1.63,70.35,77.58,0.35,28.5,0.43,1.0
6.94,117.01,148.06,3.33,24.67,109.38,0.83,30.29,1.84,1.0
6.54,10.0,10.0,1.63,95.94,35.18,0.32,17.49,0.05,1.0
7.79,204.9,394.31,2.3,35.49,228.75,0.16,33.57,0.86,1.0
6.87,10.0,10.0,1.91,63.05,5.0,3.06,40.11,0.35,1.0
8.17,10.0,54.31,0.69,69.9,58.15,0.68,7.84,0.37,1.0
7.22,10.0,10.0,1.67,111.36,29.64,0.64,23.55,0.37,1.0
6.55,178.36,282.79,,21.36,180.38,0.13,,0.2,1.0
7.21,277.35,269.94,2.18,67.69,160.76,0.7,14.39,0.2,1.0
7.07,103.61,234.66,2.49,12.13,171.65,1.36,43.93,0.5,1.0
8.21,38.98,91.48,1.15,118.88,83.14,0.29,23.49,0.02,1.0
7.1,36.75,65.55,1.46,8.41,19.32,0.46,30.01,6.13,
7.18,201.36,392.87,0.66,65.35,231.29,0.2,34.95,0.64,1.0
8.53,168.85,189.89,,112.38,127.93,0.44,,0.22,1.0
7.81,99.42,363.27,0.49,2.14,248.71,1.98,,0.12,1.0
8.73,47.22,122.95,2.65,73.8,73.94,0.27,46.84,0.12,1.0
8.41,242.64,336.21,1.69,10.29,232.12,0.03,21.91,0.04,1.0
6.69,321.69,560.66,2.21,143.13,350.22,0.77,23.28,0.05,1.0
8.19,209.3,417.23,4.04,,228.91,0.87,57.79,0.09,
8.62,152.55,217.52,3.0,,132.91,0.4,38.8,0.01,1.0
8.63,256.18,351.44,2.54,5.14,229.7,1.03,55.33,7.84,
8.19,161.65,251.87,1.52,6.43,158.2,0.04,45.35,0.18,1.0
8.17,140.88,301.58,3.56,70.83,172.85,0.42,37.04,2.67,1.0
7.16,163.74,234.88,3.24,121.99,116.36,0.16,33.76,2.4,1.0
6.73,140.18,267.13,2.89,96.21,163.35,0.26,35.8,0.1,1.0
7.12,242.71,342.42,2.0,59.36,240.53,0.48,23.03,0.12,1.0
6.07,134.96,101.33,1.08,50.38,90.99,0.68,8.38,0.34,1.0
8.47,10.0,96.82,3.52,25.75,86.69,0.1,50.82,0.08,1.0
7.17,18.93,22.29,2.87,65.64,5.0,0.11,38.59,0.35,1.0
8.43,10.0,10.0,1.8,41.65,5.0,1.12,13.41,0.25,1.0
6.41,156.02,56.54,1.72,57.58,46.69,0.52,15.58,0.2,1.0
8.27,175.73,331.89,0.78,20.36,228.43,0.19,27.14,0.86,1.0
7.0,110.18,121.44,2.76,1.93,86.94,0.27,37.83,0.88,1.0
6.37,239.87,402.72,2.17,51.02,221.49,1.27,28.47,2.21,1.0
8.7,144.01,306.94,2.4,50.13,182.18,0.05,20.76,0.13,1.0
8.29,10.0,10.0,2.93,26.16,5.91,0.71,39.32,1.1,1.0
7.57,337.88,431.0,2.72,19.34,289.89,0.45,50.44,0.39,1.0
7.43,325.09,462.16,1.13,72.34,315.75,1.67,22.83,0.45,1.0
7.75,157.92,101.23,2.02,68.2,68.68,1.56,38.45,1.13,1.0
7.56,233.2,384.04,2.41,125.06,256.24,1.17,24.16,1.43,1.0
6.77,91.62,128.7,2.49,105.24,85.35,0.49,25.13,0.65,1.0
7.07,178.36,319.53,0.41,2.25,221.41,1.0,17.48,0.21,1.0
8.97,13.91,47.1,0.99,42.37,36.87,1.02,23.17,0.34,1.0
9.54,10.0,10.0,2.66,,7.81,0.4,37.28,7.28,
8.65,138.26,223.44,2.64,,139.87,2.12,48.16,0.88,1.0
7.78,125.69,275.25,3.61,137.82,180.54,4.19,42.12,0.54,1.0
7.13,154.37,220.46,0.45,109.21,152.99,0.38,,0.23,1.0
6.76,46.42,63.19,2.9,24.81,46.43,1.62,27.29,0.27,1.0
6.81,146.4,220.02,2.38,99.74,150.63,0.69,39.26,0.03,1.0
6.96,296.07,353.86,0.95,105.67,256.86,0.62,16.4,1.29,1.0
9.12,172.73,291.02,0.23,,194.47,0.49,,0.05,
8.85,239.74,336.5,2.94,84.02,205.75,0.35,36.31,0.43,1.0
8.0,202.16,165.98,1.02,30.33,125.56,2.52,39.39,1.03,1.0
6.63,385.94,534.34,0.69,65.32,320.0,1.35,7.7,0.27,1.0
8.11,96.52,64.77,2.45,170.39,20.47,0.58,50.68,0.81,1.0
7.21,223.17,397.51,1.99,113.41,265.1,1.39,28.39,0.81,1.0
5.68,333.31,536.38,2.57,44.87,358.97,1.27,33.61,0.03,1.0
7.63,171.8,396.18,2.43,106.87,232.62,0.31,50.63,0.27,1.0
6.73,180.64,259.5,5.35,,161.02,0.19,88.08,0.59,
6.75,130.33,194.34,2.72,70.14,114.2,1.81,40.61,0.27,1.0
7.2,305.5,507.22,2.66,71.1,319.96,1.67,51.23,0.39,1.0
7.0,60.6,15.41,1.12,78.23,28.89,5.76,41.97,0.45,1.0
7.37,10.0,105.98,3.56,29.66,83.01,0.02,46.11,0.08,1.0
7.33,214.04,220.49,1.49,65.28,142.94,0.78,27.14,0.27,1.0
5.9,373.61,547.53,1.09,84.24,344.98,1.21,12.25,0.01,
4.61,222.04,375.95,1.79,,217.38,0.87,17.48,0.08,
6.61,56.4,106.39,2.44,37.35,97.56,1.24,26.98,0.36,1.0
5.19,166.79,237.94,1.54,13.87,166.5,0.15,39.0,0.43,
7.14,182.32,177.14,1.12,76.49,101.0,,,0.08,1.0
7.31,99.91,158.04,1.1,105.11,117.12,0.1,21.61,0.7,1.0
8.57,304.67,495.78,2.21,25.53,320.85,0.48,24.83,0.23,1.0
7.62,16.3,25.65,2.56,6.45,10.93,0.4,56.13,1.27,1.0
7.85,462.15,621.76,2.64,54.69,412.85,2.07,36.9,0.25,1.0
7.62,260.94,465.65,0.44,3.87,287.84,0.09,3.03,0.08,1.0
7.59,309.43,518.17,1.17,40.94,329.94,0.58,33.24,0.71,1.0
7.65,197.62,207.41,2.93,36.72,137.25,3.17,52.74,0.42,1.0
5.85,169.36,270.01,1.58,73.2,165.52,0.7,29.18,0.24,
7.2,64.87,13.37,2.2,62.61,22.07,0.14,41.1,0.22,1.0
8.33,71.48,195.07,4.63,56.46,164.18,0.34,58.56,0.08,
10.55,228.97,398.73,,115.47,244.09,0.99,7.42,0.21,
6.44,409.75,559.21,1.87,60.79,330.19,0.01,26.07,0.01,1.0
7.74,13.32,78.57,2.71,33.29,11.03,3.45,44.23,15.29,
6.94,128.57,226.9,1.02,38.19,144.47,0.84,20.12,1.14,1.0
9.04,174.68,269.74,1.87,19.43,162.07,1.22,16.87,0.79,
6.32,10.0,20.84,0.8,9.25,17.7,0.69,17.93,0.01,
7.9,230.27,418.27,2.58,,274.53,3.17,36.8,1.07,1.0
6.27,98.75,155.2,1.33,95.37,68.82,0.89,7.53,0.3,1.0
3.82,158.89,260.92,1.57,21.27,133.3,1.08,22.07,0.11,
7.37,189.78,209.61,2.9,62.64,142.17,1.97,43.65,0.7,1.0
8.26,162.35,142.13,2.56,38.01,95.09,1.98,44.28,0.19,1.0
6.54,136.35,298.59,2.97,48.83,185.57,0.03,20.72,9.49,
7.93,159.69,256.88,3.76,96.15,133.83,0.33,60.24,0.09,1.0
7.42,169.09,225.63,2.07,57.07,156.09,0.28,25.99,0.33,1.0
7.62,168.4,154.31,4.12,13.09,125.74,0.01,69.85,0.05,
8.17,254.27,363.9,2.19,27.44,242.1,2.09,32.89,6.92,
6.37,392.98,630.72,3.32,84.4,393.02,0.38,46.43,0.32,1.0
8.05,230.11,327.98,1.97,69.33,214.08,0.43,27.79,0.3,1.0
6.94,333.22,499.22,2.84,86.9,297.17,0.1,45.94,18.76,
8.28,10.0,21.96,1.57,40.46,35.43,4.58,32.68,19.35,
7.67,208.57,331.55,3.34,,217.15,1.75,41.18,0.34,1.0
7.23,121.27,80.53,3.15,70.27,16.98,0.85,43.83,0.29,1.0
6.93,10.0,10.0,1.79,60.11,5.0,1.48,41.49,0.72,1.0
8.06,97.75,152.13,2.16,61.16,108.15,1.5,28.73,0.03,1.0
8.41,310.9,538.38,1.06,,343.29,1.07,19.51,0.23,1.0
6.97,178.31,490.0,2.93,24.39,312.98,0.19,31.61,0.43,1.0
6.49,210.19,348.6,2.84,12.47,202.1,1.27,25.46,0.31,1.0
7.96,21.09,10.0,0.77,65.97,17.83,0.84,1.11,0.1,1.0
6.24,130.82,260.74,4.17,67.35,156.51,1.29,55.67,0.18,
6.36,158.47,360.34,2.4,48.26,191.09,0.78,46.36,0.18,1.0
5.07,157.03,335.11,1.77,88.7,210.39,3.13,38.01,2.41,
7.07,44.21,10.0,3.2,109.63,26.12,0.99,28.73,7.08,
6.33,171.79,121.94,1.48,64.12,71.52,0.85,16.76,0.11,1.0
5.85,241.43,287.18,3.31,76.84,221.43,1.85,56.58,0.86,
6.49,177.14,407.26,0.82,28.34,273.3,0.48,11.3,0.27,1.0
7.91,48.73,10.0,1.78,20.98,13.28,0.38,41.72,0.29,1.0
6.38,127.39,267.58,1.91,90.39,171.36,0.7,35.42,0.4,1.0
7.13,168.05,328.61,1.46,15.01,212.23,0.88,19.16,0.45,1.0
8.96,258.85,469.92,1.26,77.88,300.18,0.25,17.16,0.45,1.0
7.36,298.45,438.57,1.51,118.78,279.03,1.15,22.13,0.02,1.0
7.67,297.87,416.51,1.47,76.14,281.35,1.62,13.56,8.45,
6.64,79.11,140.01,1.53,46.76,72.29,0.86,32.36,0.11,1.0
9.13,10.0,10.0,3.43,,5.0,0.74,58.94,0.17,
6.97,156.05,221.39,2.43,56.53,121.44,0.35,41.04,0.1,1.0
7.22,328.6,500.33,1.91,90.36,366.13,2.4,31.1,0.73,1.0
8.45,406.03,578.69,2.76,42.84,386.76,1.4,31.29,0.44,1.0
7.25,201.05,442.11,1.9,90.86,293.46,0.65,33.61,13.88,
7.44,232.52,385.87,1.21,64.6,229.66,1.08,19.38,0.53,1.0
7.17,172.16,375.93,0.39,61.65,256.82,0.41,25.94,0.05,1.0
7.18,110.72,188.78,2.99,37.33,120.37,0.06,31.9,0.18,1.0
7.7,153.08,273.99,,,182.38,0.23,,0.35,1.0
7.84,377.95,633.81,0.49,33.0,392.45,0.08,,0.18,1.0
6.89,26.91,111.49,2.5,32.68,75.67,0.71,35.39,0.12,1.0
6.79,299.41,622.96,1.98,73.02,396.44,0.97,12.33,1.02,1.0
6.91,36.63,235.59,3.46,49.39,137.82,0.48,63.74,0.69,1.0
6.28,332.49,565.09,1.36,93.33,381.99,0.76,31.26,0.21,1.0
6.13,10.0,18.64,2.77,61.25,5.0,0.09,39.95,0.72,1.0
7.64,216.51,417.18,1.82,29.83,282.46,1.47,17.22,0.49,1.0
8.15,157.72,152.65,2.55,17.4,112.91,0.03,23.0,,1.0
8.1,10.0,16.95,2.17,25.87,5.0,1.01,25.51,0.24,1.0
5.49,277.07,343.71,2.5,56.43,207.0,0.57,43.81,0.17,
7.2,382.33,501.89,2.21,35.09,321.77,0.2,25.35,0.12,1.0
6.52,10.0,131.01,2.29,6.94,90.8,0.74,53.49,0.14,1.0
7.51,10.62,10.0,0.91,90.27,5.0,1.52,28.58,1.43,1.0
7.07,148.99,281.63,2.08,56.09,191.73,0.53,31.14,0.33,1.0
7.87,23.92,282.51,2.6,60.99,218.89,0.46,34.42,0.94,1.0
7.38,173.57,409.66,1.95,17.1,256.13,0.15,23.53,0.12,1.0
5.88,332.7,489.92,1.9,8.34,284.14,0.9,44.46,0.1,
3.95,273.83,288.12,0.12,43.51,203.79,1.76,,1.1,
7.4,447.79,671.1,3.53,,469.88,0.82,62.36,0.34,1.0
7.47,223.09,344.85,0.63,81.19,232.01,0.18,9.7,1.13,1.0
6.28,137.36,230.71,1.38,21.84,128.21,1.08,27.86,0.03,1.0
6.17,90.13,10.0,1.21,39.29,5.0,0.03,9.97,1.24,1.0
7.44,255.89,247.47,2.3,67.08,138.48,1.82,31.12,0.27,1.0
6.28,110.29,232.72,2.34,41.01,164.13,2.54,34.89,0.08,1.0
6.07,195.24,492.06,2.66,3.27,292.81,0.91,33.58,0.58,1.0
7.04,130.59,392.5,2.7,110.23,249.12,2.14,53.05,0.8,1.0
7.01,104.57,64.13,3.72,,21.6,0.09,48.21,0.02,1.0
6.7,198.32,334.45,1.69,,219.93,0.26,19.65,2.18,1.0
6.84,269.75,434.31,1.17,84.98,274.97,0.38,31.12,0.6,1.0
7.41,273.83,605.61,1.77,,397.18,1.48,38.13,0.19,1.0
6.82,248.84,477.5,0.89,100.11,310.82,0.66,29.3,0.08,1.0
7.46,256.53,452.17,1.65,65.08,274.18,0.43,5.74,0.25,1.0
7.1,197.6,312.02,0.45,61.32,215.35,0.17,8.74,0.12,1.0
7.53,206.67,377.66,1.16,27.24,244.51,1.66,18.37,0.34,1.0
8.1,278.07,549.9,0.31,16.98,337.67,0.02,,0.76,1.0
8.07,10.0,33.44,3.21,34.95,66.56,0.41,51.37,0.54,1.0
8.43,198.48,230.11,2.11,14.91,159.1,0.28,28.45,0.29,1.0
8.07,99.53,145.49,3.88,98.31,91.5,0.14,59.82,0.06,1.0
7.59,256.11,375.83,3.11,20.29,272.59,0.19,80.68,1.58,1.0
7.05,282.68,546.04,3.21,70.25,391.77,0.68,51.31,0.16,1.0
7.09,10.0,180.61,1.86,90.21,114.49,0.56,31.5,0.16,1.0
6.7,10.0,10.0,2.49,14.75,13.45,0.73,45.56,0.52,1.0
7.4,87.2,217.56,1.1,65.06,121.65,1.3,18.36,0.74,1.0
7.96,307.07,482.69,1.47,14.24,310.81,2.23,11.03,2.07,
6.82,408.8,407.53,2.01,43.06,260.91,0.13,13.74,1.74,1.0
7.37,266.14,385.64,0.26,31.65,254.36,0.09,3.62,7.26,
6.86,283.2,244.0,1.49,22.18,165.26,0.39,19.71,0.29,1.0
3.63,54.95,44.19,2.79,56.31,39.92,0.79,22.26,0.09,
6.96,210.34,403.06,1.51,1.44,266.74,0.11,38.94,0.44,1.0
6.81,97.28,133.14,1.26,87.17,62.33,1.26,20.03,0.01,1.0
6.86,531.12,736.82,1.62,6.74,460.16,0.81,38.63,0.11,1.0
7.8,339.94,414.1,2.75,,258.24,1.38,18.9,,1.0
7.32,81.56,183.87,2.36,39.91,113.87,0.44,50.0,0.1,1.0
7.06,119.29,177.72,1.77,35.1,136.54,0.51,21.77,0.32,1.0
7.61,97.38,281.41,2.02,64.22,159.66,1.65,42.86,0.25,1.0
7.07,192.49,252.1,2.86,53.39,156.72,0.31,45.0,0.23,1.0
8.3,391.69,523.37,3.31,,359.25,0.48,54.14,0.89,1.0
6.62,204.36,337.28,1.53,89.46,213.24,0.01,27.42,0.56,1.0
7.25,58.83,153.67,1.92,38.91,109.1,0.81,24.51,1.38,1.0
6.28,424.86,678.09,3.24,59.66,437.97,1.91,42.21,0.29,1.0
7.12,206.79,309.86,2.52,138.09,206.55,0.03,34.23,0.16,1.0
6.06,276.32,453.77,0.6,101.46,290.38,0.95,,0.07,1.0
8.0,115.95,178.35,1.11,58.42,129.27,1.87,11.8,0.56,1.0
8.01,214.88,372.62,1.14,,211.3,0.68,10.1,0.92,1.0
8.03,267.13,362.22,1.58,,228.18,0.38,8.81,0.1,1.0
7.42,42.81,10.0,2.37,96.48,12.43,5.68,40.13,1.05,1.0
6.7,372.68,703.06,3.89,33.93,467.66,0.07,58.36,0.37,1.0
6.76,284.35,558.13,1.92,43.26,392.64,0.24,31.22,0.08,1.0
8.62,119.62,220.56,2.66,4.18,135.54,2.16,46.87,0.51,1.0
8.55,84.57,79.55,3.13,67.83,81.29,0.35,44.63,0.37,1.0
7.5,229.11,369.51,3.49,95.66,227.0,1.71,42.92,0.01,1.0
6.99,158.25,317.34,3.13,110.94,232.84,0.41,50.06,0.25,1.0
8.49,235.76,371.13,1.25,32.07,257.59,1.67,,0.77,1.0
6.84,186.45,338.32,0.55,75.8,201.64,1.16,7.16,0.41,1.0
7.58,284.77,401.25,1.37,46.2,266.95,0.63,28.22,0.17,1.0
8.48,370.33,589.46,2.17,85.21,382.13,0.74,43.0,1.32,1.0
6.73,232.41,413.62,1.26,49.84,281.37,0.2,13.56,0.14,1.0
8.06,65.62,90.07,0.37,17.03,54.08,0.12,,0.15,1.0
7.82,409.26,572.51,0.78,102.81,365.99,1.26,,0.22,1.0
7.37,348.39,628.12,5.01,53.94,435.66,1.89,81.48,1.12,
6.61,578.38,930.41,1.78,35.94,602.79,1.28,23.17,0.35,1.0
6.82,41.66,75.3,3.8,57.11,65.47,2.44,77.17,0.57,1.0
7.63,230.5,348.58,1.77,20.53,222.07,2.21,12.37,1.87,1.0
6.26,10.0,10.0,2.79,66.61,39.83,1.51,45.31,7.38,
7.5,251.89,410.63,1.86,42.15,253.34,2.28,44.48,0.09,1.0
7.83,169.61,190.36,2.01,18.21,111.45,0.18,32.17,0.78,1.0
8.19,363.96,684.69,2.78,145.08,475.54,1.31,25.76,0.69,1.0
5.28,20.58,145.08,1.6,9.71,85.4,1.4,51.69,0.13,
8.45,10.0,10.0,0.81,64.13,38.52,0.17,27.89,0.2,1.0
8.76,64.92,205.75,1.19,52.27,151.57,2.4,15.65,10.05,
7.73,35.77,10.0,1.19,8.98,5.0,0.01,26.03,0.14,1.0
6.57,199.84,450.22,2.08,36.51,256.38,0.57,39.55,19.24,
7.14,10.0,10.0,0.1,,6.11,0.02,7.98,0.61,1.0
7.36,214.33,305.69,2.31,132.66,200.73,0.74,20.76,1.06,
7.62,26.83,10.0,3.27,39.28,29.84,0.53,52.24,0.04,1.0
7.42,122.29,235.94,1.49,42.69,185.13,0.98,36.99,0.3,1.0
7.62,386.75,628.68,1.35,127.81,394.94,1.45,25.23,0.47,1.0
7.33,228.64,372.13,3.97,17.04,257.91,1.46,63.48,0.56,1.0
7.61,65.17,127.3,3.47,101.78,98.05,1.28,46.71,2.79,1.0
7.03,165.71,293.76,2.43,73.7,212.41,0.11,27.37,0.57,1.0
7.13,293.93,303.6,1.25,,207.32,0.54,3.06,0.48,1.0
6.94,277.18,394.53,2.58,35.16,217.59,1.69,46.33,2.29,1.0
8.93,140.01,26.63,0.99,67.46,14.2,1.06,12.66,0.03,
8.57,226.26,418.51,0.68,51.42,248.92,1.14,,0.04,1.0
7.84,10.0,10.0,2.45,51.53,5.0,0.26,46.55,0.41,1.0
8.46,37.81,174.02,1.52,25.71,132.72,0.39,16.96,0.22,1.0
8.04,80.93,202.35,,21.49,137.63,3.12,,0.05,1.0
7.55,351.09,426.67,2.59,37.66,300.29,1.88,33.84,0.18,
6.2,156.61,304.53,3.46,128.45,204.78,0.18,49.97,0.56,1.0
7.19,107.3,18.89,2.66,13.69,5.0,0.79,44.47,19.44,
7.13,10.0,103.0,1.5,30.71,16.53,0.67,13.76,17.63,
6.49,151.17,339.74,,51.15,223.8,0.59,10.1,0.39,1.0
6.21,153.45,284.19,2.15,,180.44,0.64,37.04,0.18,1.0
7.79,107.32,184.18,1.34,67.28,100.17,1.03,15.0,0.55,1.0
7.66,168.45,203.83,1.1,,98.48,3.42,14.88,0.4,1.0
6.47,286.08,439.23,0.05,6.51,270.81,2.08,,1.31,
6.8,97.06,196.46,3.88,4.59,123.81,2.08,58.81,0.02,
8.33,162.76,282.38,0.9,,196.87,1.22,28.74,15.44,
6.7,424.44,733.99,0.18,100.73,480.86,0.02,,0.11,1.0
7.54,10.0,15.26,3.69,70.86,42.08,0.58,57.31,0.38,1.0
7.25,10.0,10.0,2.03,86.9,5.0,0.72,23.48,0.96,1.0
7.81,325.42,456.72,1.88,83.25,314.49,1.85,33.46,1.21,1.0
6.72,10.0,164.27,2.31,43.28,107.72,2.56,37.41,0.25,1.0
7.47,222.68,236.35,2.44,48.82,167.52,0.6,49.83,0.84,1.0
7.53,69.11,143.77,2.21,90.55,84.72,0.36,24.91,0.16,1.0
7.58,110.2,248.04,0.49,115.54,182.66,0.41,14.3,,1.0
3.23,408.81,619.71,0.42,,408.71,0.86,18.88,0.97,
5.36,350.52,460.43,1.27,150.8,285.69,0.32,14.69,0.06,
9.15,339.35,472.44,1.49,,306.85,2.42,21.08,0.01,
9.45,35.15,16.75,1.64,31.52,6.1,0.54,26.51,0.22,
6.89,96.2,69.77,2.23,52.96,55.13,4.61,31.06,0.24,1.0
4.15,10.0,10.0,1.72,56.64,5.0,0.12,27.58,15.81,
7.88,56.78,138.12,1.32,128.55,89.19,0.21,26.52,0.84,1.0
7.55,249.25,491.34,2.39,90.48,327.28,0.72,34.78,0.26,1.0
8.25,303.27,403.39,2.71,66.51,262.86,2.03,39.49,12.04,
7.63,134.24,255.7,1.19,91.42,193.14,0.44,20.53,0.15,1.0
7.45,219.59,295.54,0.63,63.83,207.58,1.82,5.49,0.36,1.0
8.3,124.13,162.22,2.18,22.98,105.3,0.55,29.21,0.73,1.0
8.42,161.46,340.95,1.58,69.43,225.95,1.92,14.7,12.95,
6.29,242.56,453.18,2.84,52.7,300.48,0.32,42.12,1.76,1.0
6.75,70.69,10.0,1.01,16.29,14.57,0.64,19.7,0.28,1.0
7.32,177.18,359.93,0.79,100.51,197.44,0.33,9.22,2.3,1.0
7.48,298.14,486.49,1.37,47.82,310.19,0.24,12.76,0.17,1.0
7.22,91.06,216.98,2.52,5.18,111.35,0.55,36.83,,1.0
7.75,248.39,440.14,1.65,11.49,311.66,0.41,28.7,0.73,1.0
8.2,515.45,862.93,1.91,71.4,559.69,1.55,29.95,0.1,1.0
8.78,128.34,279.13,1.5,91.98,177.57,1.38,44.87,0.03,1.0
7.86,179.17,378.66,3.02,69.27,264.07,0.44,38.67,1.29,1.0
6.72,105.75,152.39,2.48,69.45,107.5,4.86,35.74,0.78,1.0
7.28,159.51,336.25,0.48,17.59,195.99,3.64,14.95,0.05,1.0
7.34,194.7,392.05,2.9,53.72,253.42,2.5,36.57,0.75,1.0
7.81,156.43,338.97,2.59,36.8,213.63,0.88,58.14,0.93,1.0
7.71,53.74,96.06,3.08,42.2,27.55,0.53,46.32,1.18,1.0
9.04,251.95,341.27,1.47,45.53,208.02,0.38,27.68,0.39,
7.03,430.79,592.44,1.06,23.6,381.41,0.02,16.11,0.61,1.0
5.48,197.54,389.73,1.92,80.07,251.02,1.0,38.95,0.72,
9.28,402.95,492.4,2.16,9.64,290.41,0.81,21.82,0.58,
6.93,101.32,252.6,3.19,,187.22,0.99,63.5,14.52,
7.52,324.17,449.98,2.64,18.59,290.44,0.86,41.87,0.4,1.0
6.64,177.43,355.85,2.15,85.34,232.06,0.15,38.82,0.33,1.0
7.47,22.34,109.82,1.87,63.57,79.39,1.19,20.7,2.78,1.0
6.78,180.98,363.7,2.02,,220.65,0.45,33.6,0.21,1.0
8.24,58.37,101.66,1.61,73.89,75.21,0.73,14.41,0.05,1.0
7.52,133.05,173.42,2.68,48.06,105.38,0.46,51.94,0.72,1.0
6.65,236.21,337.87,0.55,33.3,201.68,0.02,,0.12,1.0
8.07,168.47,359.45,2.01,40.32,245.11,2.09,31.67,15.97,
7.54,10.0,62.15,3.04,,70.23,0.16,41.78,0.05,1.0
8.16,260.65,510.8,0.86,56.93,346.51,0.87,,0.48,1.0
6.48,243.07,414.4,3.94,,287.82,2.15,49.82,1.44,1.0
7.7,84.92,159.05,0.92,36.0,92.97,0.25,18.34,0.64,1.0
8.02,10.0,10.0,1.5,36.05,5.0,0.53,13.46,0.12,1.0
7.06,176.09,271.02,3.03,80.8,205.97,0.47,38.7,1.77,1.0
6.39,239.62,210.81,3.45,51.59,178.12,0.09,55.51,0.18,1.0
7.37,168.34,322.63,2.36,78.24,240.56,0.55,44.51,0.29,1.0
8.38,114.75,227.38,2.33,2.17,141.08,0.65,41.57,0.34,1.0
8.3,33.98,10.0,3.79,45.69,5.0,0.03,56.35,2.34,1.0
7.06,105.46,222.33,0.63,71.21,123.2,0.67,11.65,0.04,1.0
6.37,176.77,238.88,0.28,99.69,121.59,0.1,5.31,0.6,1.0
7.06,220.11,426.73,0.08,4.43,275.23,2.23,,6.45,
7.03,187.82,160.36,1.15,16.36,136.35,1.05,20.03,0.04,1.0
7.76,398.68,635.73,1.28,70.21,410.39,0.06,8.81,8.37,
7.32,10.0,10.0,2.38,114.46,12.55,1.75,41.85,19.44,
6.8,307.91,562.23,3.01,61.44,392.96,0.45,46.47,0.7,1.0
